id,key,value,type
26819236,population,2010,census
26819236,fixme,"When zooming out, Oakland (a nearby city) label covers over the San Francisco label",regular
26819236,continent,North America,is_in
26819236,country,United States,is_in
26819236,country_code,US,is_in
26819236,name,San Francisco,regular
26819236,ar,سان فرانسيسكو,name
26819236,be,Сан-Францыска,name
26819236,ckb,سان فرانسیسکۆ,name
26819236,de,San Francisco,name
26819236,en,San Francisco,name
26819236,eu,San Francisco,name
26819236,fa,سان فرانسیسکو,name
26819236,hi,सैन फ्रांसिस्को,name
26819236,ja,サンフランシスコ,name
26819236,kn,ಸಾನ್ ಫ್ರಾನ್ಸಿಸ್ಕೊ,name
26819236,ko,샌프란시스코,name
26819236,oc,San Francisco,name
26819236,pt,São Francisco,name
26819236,ru,Сан-Франциско,name
26819236,ta,ஸான் ப்²ரான்ஸிஸ்கொ,name
26819236,zh,旧金山,name
26819236,place,city,regular
26819236,population,864816,regular
26819236,rank,10,regular
26819236,short_name,SF,regular
26819236,name:oc,Lo Congrès,source
26819236,wikidata,Q62,regular
26819236,wikipedia,en:San Francisco,regular
26819236,z_order,1,regular
31855035,source,PGS,regular
54891208,highway,traffic_signals,regular
54891208,traffic_signals,signal,regular
61670779,housenumber,530,addr
61670779,street,Haight Street,addr
61670779,amenity,pub,regular
61670779,name,Mad Dog in the Fog,regular
61671096,housenumber,547,addr
61671096,street,Haight Street,addr
61671096,amenity,pub,regular
61671096,email,info@toronado.com,contact
61671096,fax,415 621 0322,contact
61671096,myspace,toronadosf,contact
61671096,phone,415 863 2276,contact
61671096,website,http://www.toronado.com/,contact
61671096,name,Toronado,regular
61671096,opening_hours,11:00-26:00,regular
61671382,housenumber,582,addr
61671382,street,Haight Street,addr
61671382,amenity,pub,regular
61671382,name,Molotov's,regular
61672275,housenumber,557,addr
61672275,street,Haight Street,addr
61672275,amenity,pub,regular
61672275,name,Noc Noc,regular
61672275,short_name,NocNoc,regular
61672275,website,https://www.nocnocs.com/,regular
61672275,wheelchair,no,regular
61673273,housenumber,668,addr
61673273,street,Haight Street,addr
61673273,amenity,pub,regular
61673273,name,Danny Coyles,regular
61674029,city,San Francisco,addr
61674029,housenumber,298,addr
61674029,street,Divisadero Street,addr
61674029,amenity,pub,regular
