id,user,uid,version,changeset,timestamp
4786909,dpaschich,621202,20,49646850,2017-06-18T23:32:35Z
7373728,Minh Nguyen,33757,10,31336567,2015-05-21T08:04:17Z
7373736,Irina Karachevtseva,5288591,10,56684752,2018-02-26T10:02:29Z
7448875,KindredCoda,14293,14,69502964,2019-04-23T20:00:41Z
7459901,mapman44,2888253,20,69935329,2019-05-06T12:58:22Z
8914977,TheDutchMan13,1330847,6,49322246,2017-06-07T01:16:32Z
8915056,taifunbrowser,6410428,3,50738929,2017-08-01T05:52:09Z
8915057,Gregory Arenius,116029,2,5469376,2010-08-12T07:13:46Z
8915058,oba510,933797,3,16624926,2013-06-20T06:09:15Z
8915059,oba510,933797,3,46779850,2017-03-12T08:37:39Z
8915062,clay_c,119881,23,61761408,2018-08-18T03:27:12Z
8915063,Gregory Arenius,116029,2,5469376,2010-08-12T07:13:52Z
8915071,IcyMidnight,7168577,8,54677699,2017-12-16T11:55:08Z
8915074,IcyMidnight,7168577,5,54677199,2017-12-16T11:31:22Z
8915075,Telecas,202256,2,3486958,2009-12-30T03:29:10Z
8915115,saikabhi,3029661,21,52822881,2017-10-11T12:12:58Z
8915117,Stephen214,4018842,19,56741552,2018-02-28T03:32:34Z
8915123,saikabhi,3029661,14,50523289,2017-07-24T10:14:41Z
8915151,manoharuss,3769434,18,50646175,2017-07-28T11:32:44Z
8915166,maxerickson,360392,6,58121848,2018-04-15T23:05:06Z
8915254,KindredCoda,14293,22,70049516,2019-05-08T22:09:54Z
8915261,KindredCoda,14293,20,70049516,2019-05-08T22:09:54Z
8915263,KindredCoda,14293,31,70049516,2019-05-08T21:56:47Z
8915288,KindredCoda,14293,58,70042421,2019-05-08T18:57:50Z
8915415,mapsru,313014,26,62809540,2018-09-21T20:16:39Z
8915452,Rub21,510836,3,20360989,2014-02-03T21:07:28Z
8915464,dbaron,481533,5,30165991,2015-04-12T15:45:05Z
8915520,Martin Atkins,6585,6,15630883,2013-04-06T19:19:32Z
8915522,clay_c,119881,5,67998568,2019-03-10T19:09:18Z
